category_id,change_type,confidence,annotation_count,our_name,our_code,kassal_name,kassal_names_all,off_name,name_similarity,kassal_found,kassal_stores,kassal_price,kassal_image_url,discontinued,proposed_name,proposed_code,recommendation
300,empty_name_filled,high,1,,7041110121738,Dent Trio 24g,Dent Trio 24g | Dent Trio 24 g | DENT TRIO 24 g | Dent 24 g trio | Dent Trio,Dent Trio 24g,1.0,True,"Joker, SPAR, Coop, Meny, Oda, Bunnpris, Europris, Havaristen",8,https://bilder.ngdata.no/7041110121738/kmh/large.jpg,False,Dent Trio 24g,7041110121738,"Fill empty name with Kassal: ""Dent Trio 24g"""
59,discontinued,high,8,MÜSLI BLÅBÆR 630G AXA,7044416017453,,,,0.0,False,,,,True,MÜSLI BLÅBÆR 630G AXA,7044416017453,Not found in Kassal (HTTP 404). Likely discontinued. Consider reclassifying 8 annotations as unknown_product (cat 355).
170,discontinued,high,8,MÜSLI ENERGI 650G AXA,7044416017545,,,,0.0,False,,,,True,MÜSLI ENERGI 650G AXA,7044416017545,Not found in Kassal (HTTP 404). Likely discontinued. Consider reclassifying 8 annotations as unknown_product (cat 355).
8,name_mismatch,low,68,FLATBRØD MORS,7039010020596,Flatbrød Mors Hjemmebakte 260g,Flatbrød Mors Hjemmebakte 260g | Mors Flatbrød Hjemmebakt 260g | Flatbrød Hjemmebakt 260g Mors,,0.619,True,"Meny, Coop, SPAR, Joker",32.9,https://bilder.ngdata.no/7039010020596/meny/large.jpg,False,Flatbrød Hjemmebakt 260g Mors,7039010020596,"Significant name mismatch (sim=0.62). Our: ""FLATBRØD MORS"". Kassal: ""Flatbrød Hjemmebakt 260g Mors"". Manual review recommended."
158,name_update,medium,55,SURDEIG KNEKKEBRØD WASA,7312080004230,Surdeig Knekkebrød 200g Leksands,Surdeig Knekkebrød 200g Leksands,,0.7636,True,Meny,37.9,https://bilder.ngdata.no/7312080004230/meny/large.jpg,False,Surdeig Knekkebrød 200g Leksands,7312080004230,"Minor name difference (sim=0.76). Kassal: ""Surdeig Knekkebrød 200g Leksands"". Consider updating."
231,name_update,medium,43,"MELLOMBAR CHIA,QUINOA&NØTTER 138G",7035620028649,"Mellombar Chia,Quinoa&Nøtter 138g Eldorado","Mellombar Chia,Quinoa&Nøtter 138g Eldorado",,0.88,True,"SPAR, Meny, Joker, KIWI",21.9,https://bilder.ngdata.no/7035620028649/kmh/large.jpg,False,"Mellombar Chia,Quinoa&Nøtter 138g Eldorado",7035620028649,"Minor name difference (sim=0.88). Kassal: ""Mellombar Chia,Quinoa&Nøtter 138g Eldorado"". Consider updating."
238,name_update,medium,30,KAMILLE TE ØKOLOGISK 24PK,7039410010111,"Confecta Kamillete Øko-Fairtrade 24 teposer 28,8g","Confecta Kamillete Øko-Fairtrade 24 teposer 28,8g | Kamille Te Økologisk 24pos Fairtrade",,0.7869,True,"Coop, Meny, Joker, SPAR",54.9,https://bilder.ngdata.no/7039410010111/meny/large.jpg,False,Kamille Te Økologisk 24pos Fairtrade,7039410010111,"Minor name difference (sim=0.79). Kassal: ""Kamille Te Økologisk 24pos Fairtrade"". Consider updating."
148,name_update,medium,28,GRANOLA SJOKOLADE&NØTTER 375G JACOBS,7035620046711,Granola Sjokolade &Nøtter 375g Jacobs Utvalgte,Granola Sjokolade &Nøtter 375g Jacobs Utvalgte,,0.878,True,"Meny, SPAR",47.9,https://bilder.ngdata.no/7035620046711/meny/large.jpg,False,Granola Sjokolade &Nøtter 375g Jacobs Utvalgte,7035620046711,"Minor name difference (sim=0.88). Kassal: ""Granola Sjokolade &Nøtter 375g Jacobs Utvalgte"". Consider updating."
228,name_update,medium,25,BRUSCHETTE FINE CHEESE MARETTI,3800205877561,Bruschette Fine Cheese 150g Sel Maretti,Bruschette Fine Cheese 150g Sel Maretti,Bruschette Chips,0.8696,True,"Meny, Joker",30.5,https://bilder.ngdata.no/3800205877561/meny/large.jpg,False,Bruschette Fine Cheese 150g Sel Maretti,3800205877561,"Minor name difference (sim=0.87). Kassal: ""Bruschette Fine Cheese 150g Sel Maretti"". Consider updating."
316,name_update,medium,23,FIBERRIK SOLSIKKE 125G SÆTRE,7039317004077,Fiberrik Solsikke 125g Prepack Sætre,Fiberrik Solsikke 125g Prepack Sætre | Fiberrik Solsikke 125g | Fiberrik Solsikke 125 g | Fiberrikt knekkebrø - Solsikkekjerner,,0.88,True,"Meny, Coop, Oda, SPAR, Havaristen",20,https://bilder.ngdata.no/7039317004077/meny/large.jpg,False,Fiberrik Solsikke 125g,7039317004077,"Minor name difference (sim=0.88). Kassal: ""Fiberrik Solsikke 125g"". Consider updating."
