ann_id,image_id,category_id,category_name,hamming_dist,reason,bbox
25172,303,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.6211,Visual outlier: Hamming dist 0.621 > threshold 0.45,"[1141, 1235, 217, 141]"
30282,345,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.5703,Visual outlier: Hamming dist 0.570 > threshold 0.45,"[1446, 1701, 86, 110]"
30283,345,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.5586,Visual outlier: Hamming dist 0.559 > threshold 0.45,"[1545, 1709, 91, 106]"
24237,295,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.543,Visual outlier: Hamming dist 0.543 > threshold 0.45,"[455, 160, 115, 135]"
32050,361,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.5391,Visual outlier: Hamming dist 0.539 > threshold 0.45,"[1189, 2093, 113, 144]"
25250,304,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.5273,Visual outlier: Hamming dist 0.527 > threshold 0.45,"[1616, 1093, 106, 93]"
27052,317,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.5195,Visual outlier: Hamming dist 0.520 > threshold 0.45,"[419, 1016, 138, 182]"
34206,380,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.5156,Visual outlier: Hamming dist 0.516 > threshold 0.45,"[57.0, 659.0, 65.0, 73.0]"
32301,363,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.5078,Visual outlier: Hamming dist 0.508 > threshold 0.45,"[1476, 1426, 149, 177]"
24664,298,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.4805,Visual outlier: Hamming dist 0.480 > threshold 0.45,"[2590, 834, 134, 178]"
21122,267,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.4727,Visual outlier: Hamming dist 0.473 > threshold 0.45,"[1724, 784, 86, 126]"
24294,295,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.4727,Visual outlier: Hamming dist 0.473 > threshold 0.45,"[2686, 1662, 164, 156]"
21332,268,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.4688,Visual outlier: Hamming dist 0.469 > threshold 0.45,"[1122, 434, 137, 140]"
32049,361,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.4688,Visual outlier: Hamming dist 0.469 > threshold 0.45,"[1301, 2096, 113, 138]"
26510,313,0,FRØKRISP KNEKKEBRØD ØKOLOGISK 170G BERIT,0.4609,Visual outlier: Hamming dist 0.461 > threshold 0.45,"[816, 1285, 100, 117]"
5830,54,1,COFFEE MATE 180G  NESTLE,0.6641,Visual outlier: Hamming dist 0.664 > threshold 0.45,"[1240, 5, 43, 57]"
5834,54,1,COFFEE MATE 180G  NESTLE,0.6445,Visual outlier: Hamming dist 0.645 > threshold 0.45,"[1299, 61, 44, 31]"
5835,54,1,COFFEE MATE 180G  NESTLE,0.6055,Visual outlier: Hamming dist 0.605 > threshold 0.45,"[1342, 62, 41, 29]"
