Loading data...
Found 1731 confirmed mismatches to relabel
Caching reference images...
  Cached 346 reference images
To process: 1731
  [1/1731] ✓ ann    29: C:100 O:100 G:100 agree EVERGOOD CLASSIC HELE BØN -> 100(EVERGOOD CLASSIC FIL) (0.1/s, ETA:194m)
  [2/1731] ? ann   133: C:64 O:304 G:None split EVERGOOD CLASSIC HELE BØN -> 64(TASSIMO EVERGOOD CLA) (0.2/s, ETA:143m)
  [3/1731] ? ann   175: C:172 O:40 G:None split FRIELE FROKOST KOKMALT 25 -> 172(FRIELE INSTANT GULL ) (0.2/s, ETA:125m)
  [4/1731] ✓ ann   395: C:40 O:40 G:40 agree FRIELE FROKOST KOKMALT 25 -> 40(FRIELE FROKOST FILTE) (0.3/s, ETA:113m)
  [5/1731] ✓ ann   396: C:172 O:40 G:40 agree FRIELE FROKOST KOKMALT 25 -> 40(FRIELE FROKOST FILTE) (0.3/s, ETA:112m)
  [6/1731] ? ann   647: C:172 O:100 G:None split EVERGOOD CLASSIC PRESSMAL -> 172(FRIELE INSTANT GULL ) (0.3/s, ETA:109m)
  [7/1731] ? ann   648: C:227 O:None G:57 split PEPPERMINT&LICORICE URTET -> 227(STORFE ENTRECOTE 180) (0.3/s, ETA:106m)
  [8/1731] ? ann  1310: C:100 O:304 G:None split EVERGOOD CLASSIC HELE BØN -> 100(EVERGOOD CLASSIC FIL) (0.3/s, ETA:105m)
  [9/1731] ✓ ann  1601: C:40 O:40 G:40 agree FRIELE FROKOST KOKMALT 25 -> 40(FRIELE FROKOST FILTE) (0.3/s, ETA:102m)
  [10/1731] ? ann  1725: C:189 O:None G:None split NESCAFE GOLD KOFFEINFRI 1 -> 189(YELLOW LABEL TEA 25P) (0.3/s, ETA:101m)
  [11/1731] ✓ ann  1776: C:172 O:40 G:40 agree FRIELE FROKOST KOKMALT 25 -> 40(FRIELE FROKOST FILTE) (0.3/s, ETA:99m)
  [12/1731] ? ann  2275: C:63 O:None G:40 split FRIELE FROKOST KOKMALT 25 -> 63(ALI MØRKBRENT FILTER) (0.3/s, ETA:99m)
  [13/1731] ✓ ann  2276: C:172 O:None G:172 agree FRIELE FROKOST KOKMALT 25 -> 172(FRIELE INSTANT GULL ) (0.3/s, ETA:98m)
