Loading data...
Resumed from checkpoint: 5310 already processed
Total candidates: 6377, to process: 1067
  [5311/6377] ✓ ann 26983 C:Y O:Y G:Y = match    (0.2/s, ETA:73m) KNEKKEBRØD 100 FRØ&HAVSALT 245G WAS
  [5312/6377] ✓ ann    26 C:Y O:Y G:Y = match    (0.3/s, ETA:58m) EVERGOOD DARK ROAST HELE BØNNER 500
  [5313/6377] ✓ ann 27574 C:Y O:Y G:Y = match    (0.3/s, ETA:54m) KNEKKEBRØD 100 FRØ&HAVSALT 245G WAS
  [5314/6377] ✗ ann  2146 C:Y O:N G:N = mismatch (0.3/s, ETA:51m) AMERICANO 16 KAPSLER DOLCE GUSTO
  [5315/6377] ✓ ann 33423 C:N O:Y G:Y = match    (0.3/s, ETA:55m) RYVITA KNEKKEBRØD RUG 400G
  [5316/6377] ✗ ann 29158 C:N O:N G:Y = mismatch (0.3/s, ETA:55m) HAVRE KNEKKEBRØD 300G WASA
  [5317/6377] ✓ ann  5304 C:Y O:Y G:Y = match    (0.3/s, ETA:53m) ALI ORIGINAL FILTERMALT 250G
  [5318/6377] ✓ ann 16224 C:N O:Y G:Y = match    (0.3/s, ETA:52m) SUPERGRØT KANEL&PUFFET QUINOA 54G
  [5319/6377] ✓ ann 24335 C:Y O:Y G:Y = match    (0.3/s, ETA:52m) KNEKKEBRØD SPORT+ 210G WASA
  [5320/6377] ✗ ann 24684 C:N O:Y G:N = mismatch (0.3/s, ETA:56m) LEKSANDS KNEKKE GODT STEKT 200G
  [5321/6377] ✓ ann 26841 C:Y O:Y G:Y = match    (0.3/s, ETA:55m) HAVRE KNEKKEBRØD 300G WASA
  [5322/6377] ✓ ann 31020 C:Y O:Y G:Y = match    (0.3/s, ETA:54m) HUSMAN KNEKKEBRØD 260G WASA
  [5323/6377] ✓ ann  5756 C:Y O:Y G:Y = match    (0.3/s, ETA:54m) EVERGOOD CLASSIC KOKMALT 250G
  [5324/6377] ✓ ann 20083 C:N O:Y G:Y = match    (0.3/s, ETA:53m) FLATBRØD 275G KORNI
  [5325/6377] ✓ ann 27670 C:Y O:N G:Y = match    (0.3/s, ETA:53m) FLATBRØD MORS HJEMMEBAKTE 520G
  [5326/6377] ✓ ann 28531 C:Y O:Y G:N = match    (0.3/s, ETA:54m) KNEKKEBRØD SPORT+ 210G WASA
  [5327/6377] ✓ ann 30264 C:Y O:N G:Y = match    (0.3/s, ETA:53m) MELLOMBAR SOMMERVIBBER 138G ELDORAD
  [5328/6377] ✓ ann 21700 C:Y O:Y G:Y = match    (0.3/s, ETA:54m) MELLOMBAR SALT KARAMELL 138G ELDORA
  [5329/6377] ✗ ann 10658 C:Y O:N G:N = mismatch (0.3/s, ETA:53m) BERIT GRANOLA M/PUFFET HAVRE 350G
  [5330/6377] ✓ ann   146 C:Y O:N G:Y = match    (0.3/s, ETA:53m) BLÅ JAVA HELE BØNNER 500G JACOBS UT
  [5331/6377] ✓ ann   537 C:Y O:N G:Y = match    (0.3/s, ETA:52m) SOLBÆR TE 25POS TWININGS
  [5332/6377] ✓ ann  5798 C:N O:Y G:Y = match    (0.3/s, ETA:52m) FIRE RØDE FRUKTER 25POS TWININGS
  [5333/6377] ✗ ann 17707 C:N O:N G:Y = mismatch (0.3/s, ETA:52m) CHEERIOS HAVRE 375G NESTLE
  [5334/6377] ✗ ann 21668 C:N O:N G:Y = mismatch (0.3/s, ETA:52m) FIBER BALANCE 230G WASA
  [5335/6377] ✓ ann 21941 C:Y O:N G:Y = match    (0.3/s, ETA:52m) FRØ & HAVSALT 200G LEKSANDS
  [5336/6377] ✓ ann 29754 C:N O:Y G:Y = match    (0.3/s, ETA:52m) HUSMAN KNEKKEBRØD 260G WASA
  [5337/6377] ✓ ann 31561 C:Y O:N G:Y = match    (0.3/s, ETA:51m) MELBATOAST RUND 110G MEULEN
  [5338/6377] ✓ ann  3541 C:Y O:N G:Y = match    (0.3/s, ETA:51m) EVERGOOD CLASSIC KOKMALT 250G
  [5339/6377] ✓ ann 21394 C:Y O:Y G:Y = match    (0.3/s, ETA:51m) FIBER BALANCE 230G WASA
  [5340/6377] ✓ ann 28160 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) HAVREKNEKKEBRØD TYNT 265G WASA
  [5341/6377] ✗ ann 24302 C:Y O:N G:N = mismatch (0.3/s, ETA:50m) BRUSCHETTE FINE CHEESE MARETTI
  [5342/6377] ✓ ann  1494 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) FIRE RØDE FRUKTER 25POS TWININGS
  [5343/6377] ✓ ann 20968 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) FRØ & HAVSALT 200G LEKSANDS
  [5344/6377] ✓ ann 31592 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) LEKSANDS KNEKKE NORMALT STEKT 200G
  [5345/6377] ✗ ann 13972 C:N O:N G:N = mismatch (0.3/s, ETA:49m) CHEERIOS HAVRE 375G NESTLE
  [5346/6377] ✓ ann 20549 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) FIBER BALANCE 230G WASA
  [5347/6377] ✓ ann 27773 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) KNEKKEBRØD SPORT+ 210G WASA
  [5348/6377] ✓ ann 21252 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) HAVRE KNEKKEBRØD 300G WASA
  [5349/6377] ✓ ann  7903 C:Y O:N G:Y = match    (0.3/s, ETA:50m) EGG FRITTGÅENDE M/L/XL SOLEGG 6STK 
  [5350/6377] ✓ ann 24575 C:Y O:N G:Y = match    (0.3/s, ETA:50m) FRUKOST KNEKKEBRØD 240G WASA
  [5351/6377] ✓ ann  7707 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) EGG FRITTGÅENDE M/L 6PK PRIOR
  [5352/6377] ✗ ann 13712 C:N O:N G:N = mismatch (0.3/s, ETA:49m) CHEERIOS HAVRE 375G NESTLE
  [5353/6377] ✓ ann 24563 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) RISKAKER 100G FIRST PRICE
  [5354/6377] ✓ ann 26139 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) HAVREKNEKKEBRØD TYNT 265G WASA
  [5355/6377] ✓ ann  6272 C:Y O:N G:Y = match    (0.3/s, ETA:50m) NESCAFE GULL 200G NESTLE
  [5356/6377] ✓ ann 10621 C:Y O:Y G:N = match    (0.3/s, ETA:50m) CHEERIOS HAVRE 375G NESTLE
  [5357/6377] ✓ ann 11493 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) HAVREGRØT STEEL CUT DEN SORTE HAVRE
  [5358/6377] ✓ ann 18726 C:Y O:Y G:Y = match    (0.3/s, ETA:50m) HAVRE KNEKKEBRØD 300G WASA
  [5359/6377] ✓ ann  7016 C:Y O:N G:Y = match    (0.3/s, ETA:50m) GRØNN TE SITRON 25POS TWININGS
  [5360/6377] ✓ ann  6217 C:N O:Y G:Y = match    (0.3/s, ETA:50m) FRIELE FROKOST FILTERMALT 250G
  [5361/6377] ✗ ann 15203 C:N O:N G:Y = mismatch (0.3/s, ETA:49m) MUSLI ENERGI 675G AXA
  [5362/6377] ✓ ann 15255 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) MUSLI HAVRE&MANDEL 400G BARE BRA
  [5363/6377] ✓ ann 32079 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) KNEKKEBRØD GODT FOR DEG 235G SIGDAL
  [5364/6377] ✓ ann 34290 C:Y O:N G:Y = match    (0.3/s, ETA:49m) LEKSANDS KNEKKE NORMALT STEKT 200G
  [5365/6377] ✓ ann 19158 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) HAVRE KNEKKEBRØD 300G WASA
  [5366/6377] ✓ ann 19666 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) FLATBRØD MORS
  [5367/6377] ✓ ann 28683 C:Y O:N G:Y = match    (0.3/s, ETA:49m) MELLOMBAR SOMMERVIBBER 138G ELDORAD
  [5368/6377] ✓ ann 25800 C:Y O:N G:Y = match    (0.3/s, ETA:49m) FRØKRISP KNEKKEBRØD ØKOLOGISK 170G 
  [5369/6377] ✓ ann 27277 C:Y O:N G:Y = match    (0.3/s, ETA:49m) LEKSANDS KNEKKE FIBERBIT 240G
  [5370/6377] ✓ ann 29453 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) HAVRE KNEKKEBRØD 300G WASA
  [5371/6377] ✗ ann  5772 C:Y O:N G:N = mismatch (0.3/s, ETA:48m) NESCAFE GULL 200G NESTLE
  [5372/6377] ✗ ann 11046 C:N O:N G:N = mismatch (0.3/s, ETA:48m) MÜSLI HASSELNØTT 600G AXA
  [5373/6377] ✓ ann 21977 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) FRUKOST KNEKKEBRØD 240G WASA
  [5374/6377] ✓ ann 20015 C:Y O:N G:Y = match    (0.3/s, ETA:49m) LEKSANDS KNEKKE FIBERBIT 240G
  [5375/6377] ✓ ann 31594 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) LEKSANDS KNEKKE NORMALT STEKT 200G
  [5376/6377] ✓ ann 13975 C:Y O:Y G:N = match    (0.3/s, ETA:49m) CHEERIOS MULTI 375G NESTLE
  [5377/6377] ✓ ann 18720 C:Y O:Y G:Y = match    (0.3/s, ETA:48m) HUSMAN KNEKKEBRØD 260G WASA
  [5378/6377] ✓ ann 29295 C:Y O:Y G:Y = match    (0.3/s, ETA:49m) HAVRE KNEKKEBRØD 300G WASA
  [5379/6377] ✓ ann 12849 C:Y O:N G:Y = match    (0.3/s, ETA:48m) FRUKOST KNEKKEBRØD 240G WASA
  [5380/6377] ✓ ann 21638 C:N O:Y G:Y = match    (0.3/s, ETA:48m) RYVITA KNEKKEBRØD SESAM 250G
  [5381/6377] ✓ ann 27131 C:Y O:Y G:Y = match    (0.3/s, ETA:48m) HAVRE KNEKKEBRØD 300G WASA
  [5382/6377] ✓ ann 29732 C:Y O:Y G:Y = match    (0.3/s, ETA:48m) FIBER BALANCE 230G WASA
  [5383/6377] ✗ ann  5289 C:Y O:N G:N = mismatch (0.3/s, ETA:48m) EVERGOOD CLASSIC KOKMALT 250G
  [5384/6377] ✓ ann  8094 C:Y O:Y G:Y = match    (0.3/s, ETA:47m) EGG FRITTGÅENDE M/L/XL SOLEGG 6STK 
  [5385/6377] ✓ ann 10256 C:Y O:Y G:Y = match    (0.3/s, ETA:47m) SUPERGRØT KANEL&PUFFET QUINOA 54G
  [5386/6377] ✓ ann 12384 C:Y O:Y G:N = match    (0.3/s, ETA:47m) CHEERIOS HAVRE 375G NESTLE
  [5387/6377] ✗ ann 17991 C:N O:N G:Y = mismatch (0.3/s, ETA:47m) MUSLI ENERGI 675G AXA
  [5388/6377] ✓ ann 18658 C:N O:Y G:Y = match    (0.3/s, ETA:47m) HUSMAN KNEKKEBRØD 260G WASA
  [5389/6377] ✓ ann 25870 C:Y O:Y G:Y = match    (0.3/s, ETA:47m) HAVREKNEKKEBRØD TYNT 265G WASA
  [5390/6377] ✓ ann 13087 C:Y O:Y G:Y = match    (0.3/s, ETA:47m) CRUESLI SOLFROKOST 450G QUAKER
  [5391/6377] ✗ ann 18606 C:N O:N G:Y = mismatch (0.3/s, ETA:47m) SURDEIG KNEKKEBRØD WASA
  [5392/6377] ✓ ann   722 C:Y O:N G:Y = match    (0.4/s, ETA:46m) EVERGOOD CLASSIC KOKMALT 250G
  [5393/6377] ✓ ann  5858 C:Y O:N G:Y = match    (0.4/s, ETA:46m) EVERGOOD DARK ROAST PRESSMALT 250G
  [5394/6377] ✓ ann  4891 C:Y O:Y G:Y = match    (0.4/s, ETA:46m) EVERGOOD CLASSIC FILTERMALT 250G
  [5395/6377] ✓ ann 28313 C:Y O:Y G:Y = match    (0.4/s, ETA:46m) MAISKAKER SOURCREAM&ONION 125G FRIG
